algoritmo,tempo,np
ignore,18.421103,1
ignore,18.449849,1
ignore,18.473235,1
ignore,18.455818,1
ignore,18.417078,1
ignore,18.605085,1
ignore,18.477309,1
ignore,18.495693,1
ignore,18.481662,1
ignore,18.497186,1
basic_linear,18.538179,1
basic_linear,18.449583,1
basic_linear,18.571877,1
basic_linear,18.787377,1
basic_linear,18.647006,1
basic_linear,18.450616,1
basic_linear,18.524416,1
basic_linear,18.471301,1
basic_linear,18.547110,1
basic_linear,18.497842,1
binomial,18.521608,1
binomial,18.403654,1
binomial,18.465386,1
binomial,18.437797,1
binomial,18.478485,1
binomial,18.547445,1
binomial,18.636611,1
binomial,18.994824,1
binomial,18.855626,1
binomial,18.688983,1
linear_nb,18.676429,1
linear_nb,19.061968,1
linear_nb,74.260425,1
linear_nb,43.148779,1
linear_nb,64.665330,1
linear_nb,76.340235,1
linear_nb,19.699641,1
linear_nb,29.286272,1
linear_nb,89.911782,1
linear_nb,19.092348,1
